<<<<<<< HEAD
1
aaa aaa
2
bbb bbb
aaa aaa
2
bbb bbb
ccc ccc
4
ddd ddd
bbb bbb
eee eee
aaa aaa
4
ddd ddd
bbb bbb
eee eee
ccc ccc
4
ddd ddd
bbb bbb
fff fff
eee eee
4
ddd ddd
bbb bbb
fff fff
ggg ggg

3
bbb bbb
ccc ccc
aaa aaa
3
bbb bbb
aaa aaa
ccc ccc
6
ddd ddd
fff fff
bbb bbb
eee eee
ggg ggg
aaa aaa
6
ddd ddd
fff fff
bbb bbb
eee eee
ggg ggg
ccc ccc
6
fff fff
ddd ddd
hhh hhh
bbb bbb
eee eee
ggg ggg
6
fff fff
ddd ddd
hhh hhh
bbb bbb
eee eee
iii iii

3
aaa aaa
bbb bbb
ccc ccc
6
bbb bbb
aaa aaa
fff fff
eee eee
ggg ggg
hhh hhh
5
ddd ddd
aaa aaa
eee eee
bbb bbb
ccc ccc
9
ggg ggg
bbb bbb
hhh hhh
aaa aaa
ddd ddd
iii iii
ccc ccc
eee eee
fff fff
5
bbb bbb
aaa aaa
ccc ccc
ddd ddd
eee eee
9
ccc ccc
bbb bbb
eee eee
aaa aaa
ddd ddd
ggg ggg
fff fff
hhh hhh
iii iii

3
ccc ccc
bbb bbb
aaa aaa
6
fff fff
ggg ggg
ddd ddd
eee eee
bbb bbb
aaa aaa
5
ddd ddd
ccc ccc
eee eee
bbb bbb
aaa aaa
9
ggg ggg
eee eee
hhh hhh
ccc ccc
fff fff
iii iii
bbb bbb
ddd ddd
aaa aaa
5
bbb bbb
aaa aaa
eee eee
ddd ddd
ccc ccc
9
ccc ccc
bbb bbb
hhh hhh
aaa aaa
fff fff
iii iii
eee eee
ggg ggg
ddd ddd

3
ccc ccc
aaa aaa
bbb bbb
6
fff fff
bbb bbb
ggg ggg
aaa aaa
ddd ddd
ccc ccc
5
ddd ddd
ccc ccc
eee eee
aaa aaa
bbb bbb
9
ggg ggg
eee eee
hhh hhh
bbb bbb
fff fff
iii iii
aaa aaa
ddd ddd
ccc ccc
5
bbb bbb
aaa aaa
eee eee
ccc ccc
ddd ddd
9
ccc ccc
bbb bbb
hhh hhh
aaa aaa
eee eee
iii iii
ddd ddd
fff fff
ggg ggg

3
aaa aaa
ccc ccc
bbb bbb
6
bbb bbb
aaa aaa
eee eee
ddd ddd
fff fff
ccc ccc
5
ddd ddd
aaa aaa
eee eee
ccc ccc
bbb bbb
9
ggg ggg
bbb bbb
hhh hhh
aaa aaa
eee eee
iii iii
ddd ddd
fff fff
ccc ccc
5
bbb bbb
aaa aaa
ccc ccc
eee eee
ddd ddd
9
ccc ccc
bbb bbb
eee eee
aaa aaa
ddd ddd
hhh hhh
fff fff
iii iii
ggg ggg
